subsystem,ref,description,mfr_pn,lcsc,qty,unit_cost_usd,ext_cost_usd,notes
helmet,U1,ESP32-S3-WROOM-1U-N16R8 module 16MB flash 8MB PSRAM,ESP32-S3-WROOM-1U-N16R8,C?????,1,5.20,5.20,verify-before-order; IS derated to 3.0V
helmet,U2,ToF depth camera module 320x240 940nm (Melexis MLX75027 ref),MLX75027,C?????,1,42.00,42.00,verify-before-order; pricier than VL53L8CX but resolution required for 25-sign vocab
helmet,U3,Haptic driver DRV2605L I2C,DRV2605LDGSR,C?????,2,2.10,4.20,verify-before-order
helmet,M1,LRA temple actuator 10mm 235Hz,G1040003D,C?????,2,3.80,7.60,verify-before-order
helmet,LED1,Cap-lamp LED Cree XHP70.2 4500lm MSHA-class,XHP70A-00-0000-0D0HJ227H,C?????,1,18.50,18.50,verify-before-order; MSHA approved part family
helmet,U4,LED driver IS-modified buck 1A,LM3409HVQ,C?????,1,4.40,4.40,verify-before-order; current-limited dual-fused
helmet,F1,IS fast-blow fuse 100mA dual-redundant,0451.100MRL,C?????,4,0.85,3.40,verify-before-order; IEC 60127 cert required
helmet,U5,LDO 3.0V 200mA low-noise,TPS73230,C?????,2,0.95,1.90,verify-before-order; clamped below 3.3V for IS margin
helmet,Y1,Optical bandpass filter 940nm 10nm FWHM 12mm,custom-OG940,C?????,1,28.00,28.00,verify-before-order; glass interference filter
helmet,L1,Lens M12 90deg HFoV AR-coated IR-pass,custom-M12-940,C?????,1,9.50,9.50,verify-before-order
helmet,L2,Ferrite rod antenna Mn-Zn 10x80mm tuned 457kHz,custom-MnZn-10x80,C?????,1,14.00,14.00,verify-before-order; tuned LC tank
helmet,U6,VLF LNA + envelope detector NE612,SA612AD,C?????,1,2.30,2.30,verify-before-order
helmet,U7,CH4 catalytic pellistor sensor IS-cert,MC112,C?????,1,38.00,38.00,verify-before-order; methane sensor with IS approval
helmet,J1,Captouch through-shell button IC,AT42QT1010,C?????,1,1.20,1.20,verify-before-order
helmet,J2,M8 4-pin screw-lock tether connector IP67,M8-4F-IS,C?????,1,11.00,11.00,verify-before-order; armored cable mate
helmet,MECH1,Glass-filled PA66 antistatic helmet shell carbon-loaded,custom-MS-shell,C?????,1,42.00,42.00,verify-before-order; injection-molded; min 5k qty
helmet,MECH2,Hard-hat M22 mounting bracket compatible,custom-M22-mount,C?????,1,6.50,6.50,verify-before-order
helmet,PCB1,4-layer FR4 ENIG conformal-coat helmet PCB 60x40,custom-PCB,C?????,1,9.20,9.20,verify-before-order; conformal coating per IEC 60079-11
beltpack,U10,STM32L4R5ZIT6 MCU low-power 2MB flash,STM32L4R5ZIT6,C?????,1,11.80,11.80,verify-before-order
beltpack,U11,nRF52840 2.4GHz mesh module,nRF52840-QIAA-R,C?????,1,8.40,8.40,verify-before-order
beltpack,U12,VLF Class-E PA discrete + IRF7424 FETs,custom-CL-E-PA,C?????,1,14.50,14.50,verify-before-order; IS-current limited to 500mA
beltpack,L10,Loop antenna 30cm dia 8-turn 0.5mm Litz weatherized,custom-loop-30cm,C?????,1,22.00,22.00,verify-before-order
beltpack,U13,Haptic driver DRV2605L,DRV2605LDGSR,C?????,2,2.10,4.20,verify-before-order
beltpack,M10,LRA chest actuator 12mm 175Hz,G1040003D-12,C?????,4,4.20,16.80,verify-before-order; quad-array
beltpack,U14,NDIR methane sensor head Dynament MSH-DP-HC,MSH-DP-HC,C?????,1,210.00,210.00,verify-before-order; redundant to helmet pellistor
beltpack,BT1,LiFePO4 4.4Ah IS-cert Group I M1 cell,custom-LFP-IS,C?????,1,95.00,95.00,verify-before-order; only 2-3 vendors globally
beltpack,U15,BQ25890 IS-mod charger,BQ25890RTWR,C?????,1,3.80,3.80,verify-before-order; lamp-room dock charge only
beltpack,U16,Zener barrier array IEC 60079-11 6.3.13,custom-zener-bar,C?????,3,4.50,13.50,verify-before-order; galvanic-iso path
beltpack,F10,IS fuse 200mA + 500mA assorted,IS-fuse-asst,C?????,8,0.85,6.80,verify-before-order
beltpack,J10,M8 4-pin armored tether helmet-side mate,M8-4M-IS,C?????,1,11.00,11.00,verify-before-order
beltpack,MECH10,Anodized aluminum enclosure 120x80x35 antistatic,custom-Al-belt,C?????,1,28.00,28.00,verify-before-order; conductive strap eyelet
beltpack,MECH11,Belt clip mining-rated load-tested,custom-mine-clip,C?????,1,7.80,7.80,verify-before-order
beltpack,PCB10,6-layer FR4 ENIG conformal-coat belt PCB,custom-PCB-belt,C?????,1,14.00,14.00,verify-before-order
surface,U20,RP2040 dual-core MCU,RP2040,C?????,1,1.20,1.20,verify-before-order
surface,U21,Class-D 50W PA for 457kHz,custom-50W-CL-D,C?????,1,68.00,68.00,verify-before-order
surface,L20,3-axis orthogonal loop antenna farm 1m,custom-3ax-loop,C?????,1,420.00,420.00,verify-before-order; portal-mount
surface,U22,W5500 Ethernet PHY,W5500,C?????,1,4.10,4.10,verify-before-order
surface,U23,Quectel EC25 4G LTE module,EC25-AFXD,C?????,1,38.00,38.00,verify-before-order
surface,DISP1,10in touchscreen dispatch console,custom-10in-disp,C?????,1,180.00,180.00,verify-before-order
surface,PSU1,24V site-rail isolated PSU 150W,RPS-160-24,C?????,1,42.00,42.00,verify-before-order
surface,MECH20,Surface gateway IP54 enclosure rack-mount,custom-gw-encl,C?????,1,85.00,85.00,verify-before-order
surface,PCB20,4-layer FR4 surface PCB,custom-PCB-gw,C?????,1,18.00,18.00,verify-before-order
common,LABEL,Permissible serial plate + warning labels per 30 CFR Part 7,custom-MSHA-plate,C?????,2,3.50,7.00,verify-before-order; per-unit serialization required
common,POT,Conformal coat & potting compound per IEC 60079-11,custom-potting,C?????,1,8.00,8.00,verify-before-order
common,TEST,Per-unit IS hipot + insulation-resistance test labor allocation,labor-IS-test,C?????,1,22.00,22.00,verify-before-order; mandatory 100% test
