assembly,ref,part,mfr,mfr_pn,lcsc,qty,unit_usd_1k,ext_usd_1k,notes
pillow,U1,MCU dual-core BLE5.3 + 802.15.4,Nordic,nRF5340-QKAA,C2980085,1,9.80,9.80,verify-before-order; TrustZone secure-boot
pillow,U2,IMU 6-axis ±2000dps ±16g,TDK InvenSense,ICM-42688-P,C2747987,2,4.95,9.90,verify-before-order; spaced 140mm
pillow,U3,Qi 1.3 5W wireless RX,Texas Instruments,BQ51013BRHLT,C?????,1,2.85,2.85,verify-before-order
pillow,U4,LiPo charger linear 1A,TI,BQ24074RGTT,C?????,1,1.65,1.65,verify-before-order; redundant w/ TP4056
pillow,U5,Buck DC-DC 60nA Iq,TI,TPS62840DLCR,C?????,1,1.10,1.10,verify-before-order
pillow,U6,LDO 3V3 ultra-low-noise,Analog Devices,ADP7118ARDZ-3.3,C?????,1,0.95,0.95,verify-before-order; analog rail for IMU
pillow,U7,Secure element ECC + true RNG,Microchip,ATECC608B-TNGTLSU,C?????,1,1.20,1.20,verify-before-order
pillow,U8,SPI NOR flash 16MB,Winbond,W25Q128JVSIQ,C97521,1,1.05,1.05,verify-before-order; log + model storage
pillow,U9,NTC + thermistor cluster,Murata,NCP18XH103F03RB,C?????,3,0.08,0.24,autoclave/temp detect
pillow,SW1,Reed switch tamper,Standex,KSK-1A66,C?????,1,0.55,0.55,verify-before-order
pillow,BT1,LiPo 850mAh UN38.3,EVE,LIR603450,C?????,1,3.40,3.40,verify-before-order; medical-cert cell
pillow,L1,Qi RX coil 760nH,Würth,760308102214,C?????,1,1.80,1.80,verify-before-order
pillow,Y1,XO 32MHz 10ppm,NDK,NX2016SA-32MHz,C?????,1,0.45,0.45,verify-before-order
pillow,Y2,XO 32.768kHz,Abracon,ABS07-32.768KHZ,C70561,1,0.18,0.18,verify-before-order
pillow,ANT1,Chip antenna 2.4GHz,Johanson,2450AT43F0100E,C?????,1,0.42,0.42,verify-before-order; matched network
pillow,F1,PTC resettable fuse,Bourns,MF-MSMF050-2,C?????,1,0.12,0.12,verify-before-order
pillow,RC,Passives 0402 R/C kit,Yageo/Murata,assorted,C?????,1,1.40,1.40,~120 parts incl. ESD TVS
pillow,PCB,PCB 4-layer ENIG 50x80,JLC,custom,-,1,2.20,2.20,IPC Class 3 medical
pillow,ENC1,Silicone over-mold MED-4750 50A,NuSil,MED-4750,-,1,6.50,6.50,verify-before-order; ISO 10993 biocompat
pillow,SLV1,Disposable patient-use sleeve,custom,knit-bond-medical,-,1,0.85,0.85,verify-before-order; UDI-labelled
pillow,QC,Final QC + sterilization-pkg,internal,-,-,1,2.10,2.10,IPC 610 Class 3 visual + e-test
pillow,LBL,UDI label + IFU insert,internal,-,-,1,0.45,0.45,FDA UDI + EU MDR
pillow,ASSY,SMT + over-mold labor,CM,-,-,1,4.80,4.80,ISO 13485 contract manufacturer
puck,U10,MCU Wi-Fi/BLE w/ 8MB PSRAM,Espressif,ESP32-S3-WROOM-1-N16R8,C2913203,1,4.60,4.60,verify-before-order
puck,U11,Haptic driver LRA,TI,DRV2605LDGSR,C92482,1,1.95,1.95,verify-before-order
puck,U12,Ethernet MAC+PHY SPI,WIZnet,W5500,C13987,1,2.85,2.85,verify-before-order
puck,U13,PoE PD controller 802.3af,Silicon Labs,Si3402-B-GM,C?????,1,3.20,3.20,verify-before-order
puck,U14,Buck 5V→3V3 1A,TI,TPS62933DRLR,C?????,1,0.55,0.55,verify-before-order
puck,U15,USB-C UART bridge service,WCH,CH343P,C?????,1,0.45,0.45,verify-before-order; disabled in prod
puck,U16,WS2812B-compat RGB,Worldsemi,WS2812B-2020,C?????,12,0.04,0.48,priority ring
puck,U17,Cap-touch ack,TI,TTP223-BA6,C?????,1,0.18,0.18,verify-before-order
puck,DISP1,E-paper 2.9" 296x128 mono,Good Display,GDEY029T94,C?????,1,8.50,8.50,verify-before-order
puck,LRA1,LRA 10x3mm 175Hz,Jinlong,G1040003D,C?????,1,1.40,1.40,verify-before-order
puck,T1,LAN magnetics RJ45+xfmr,Bel Fuse,0826-1G1T-23-F,C?????,1,2.30,2.30,verify-before-order
puck,J1,USB-C receptacle 16-pin,GCT,USB4105-GF-A,C?????,1,0.65,0.65,verify-before-order; service port
puck,BUZ1,Piezo buzzer w/ HW disable,TDK,PS1240P02BT,C?????,1,0.55,0.55,verify-before-order
puck,SW2,Tact reset & boot,C&K,KMR2,C?????,2,0.08,0.16,verify-before-order
puck,RC2,Passives 0402 kit,Yageo/Murata,assorted,C?????,1,1.60,1.60,~140 parts incl. PoE TVS
puck,PCB2,PCB 4-layer ENIG 65x100,JLC,custom,-,1,2.80,2.80,IPC Class 2 office grade
puck,ENC2,Enclosure ABS + silicone skin,custom,injection,-,1,4.20,4.20,verify-before-order; tabletop puck
puck,LBL2,UDI + cert labels,internal,-,-,1,0.30,0.30,FCC/IC/CE/UDI
puck,ASSY2,SMT + box-build labor,CM,-,-,1,3.40,3.40,ISO 13485
puck,QC2,Final QC + PoE/cyber-cert e-test,internal,-,-,1,1.80,1.80,verify-before-order
