subsystem,ref,description,mfr_pn,lcsc_pn,qty_per_system,unit_cost_usd,extended_usd,notes
belt,U1,STM32G473CBT6 MCU 170MHz Cortex-M4F LQFP48,STM32G473CBT6,C2040672,1,5.80,5.80,verify-before-order
belt,U2,nRF52840 BLE 5.3 + 2.4GHz SoC aQFN73,NRF52840-QIAA-R,C190794,1,7.40,7.40,verify-before-order
belt,M1,SX1262 LoRa module Ebyte E22-900M30S +30dBm,E22-900M30S,C?????,1,12.50,12.50,verify-before-order
belt,U3,W25Q128JV 16MB SPI NOR flash,W25Q128JVSIQ,C97521,1,1.30,1.30,verify-before-order
belt,U4,LSM6DSO32X 6-axis IMU 32g,LSM6DSO32XTR,C?????,1,4.20,4.20,verify-before-order
belt,U5,DRV2605L haptic driver I2C QFN10,DRV2605LDGSR,C92482,4,2.10,8.40,verify-before-order
belt,U6,PCA9548APW 8-ch I2C mux TSSOP24,PCA9548APW,C8550,1,0.95,0.95,verify-before-order
belt,U7,TS5A23159 dual SPDT analog mux,TS5A23159DGSR,C?????,4,0.55,2.20,verify-before-order
belt,U8,TPS62840 1.5A buck 95% eff,TPS62840DLCR,C?????,1,1.15,1.15,verify-before-order
belt,U9,TPS61023 boost 5V/2A,TPS61023DRLR,C?????,1,0.95,0.95,verify-before-order
belt,U10,BQ25171 LiFePO4 linear charger,BQ25171RGER,C?????,1,2.30,2.30,verify-before-order
belt,BT1,LiFePO4 18650 1500mAh thermal-tolerant,IFR18650-1500,C?????,1,6.80,6.80,verify-before-order
belt,J1,USB-C receptacle 16-pin SMT,TYPE-C-31-M-12,C165948,1,0.45,0.45,verify-before-order
belt,J2,LEMO 0B-compatible 8-pin panel,0B-8P-XXX,C?????,1,18.00,18.00,verify-before-order LEMO genuine; clone risk
belt,J3,JST-GH 6-pin top entry,SM06B-GHS-TB,C?????,1,0.35,0.35,verify-before-order
belt,ANT1,868/915MHz SMA whip antenna 50ohm,ANT-916-CW-RH,C?????,1,3.20,3.20,verify-before-order
belt,ANT2,2.4GHz chip antenna + uFL,2450AT43B100,C?????,1,1.10,1.10,verify-before-order
belt,PCB,4-layer PCB 90x55mm ENIG,custom,N/A,1,8.50,8.50,verify-before-order @ JLC qty 100
belt,ENC,Aluminum 6061 enclosure CNC anodized,custom,N/A,1,22.00,22.00,verify-before-order
belt,POT,RTV-3140 silicone potting compound 30g,RTV-3140,N/A,1,2.50,2.50,verify-before-order
patch,LRA,Vybronics VG0832012D 8mm LRA 235Hz,VG0832012D,C?????,8,2.80,22.40,verify-before-order pulse-rated
patch,FPC,2-layer flex PCB 35x35mm ENIG,custom,N/A,8,1.40,11.20,verify-before-order @ qty 800
patch,SIL,Medical silicone 30A casting per patch,MS-30A,N/A,8,0.85,6.80,verify-before-order
patch,NOM,Nomex IIIA 4.5oz sleeve fabric per patch,NOMEX-IIIA,N/A,8,0.95,7.60,informational only - not certified assy
patch,ADH,Permabond TA4610 bond per patch,TA4610,N/A,8,0.40,3.20,verify-before-order
patch,CON,Molex Pico-EZmate 2-pin per patch,36796-0200,C?????,8,0.30,2.40,verify-before-order
harness,WIR,28AWG silicone twisted-pair 200C per m,custom,N/A,12,0.90,10.80,verify-before-order
harness,OVR,Nomex over-sleeve braid per m,NOMEX-BRAID,N/A,3,2.20,6.60,verify-before-order
harness,COMB,PA12 3D-printed cable comb,custom,N/A,1,1.20,1.20,SLS print
chinpad,BTN,Silicone-dome momentary button,EVQ-Q2Y03W,C?????,4,0.45,1.80,verify-before-order
chinpad,XDC,Bone-conduction transducer 8ohm,BCT-1608,C?????,1,4.80,4.80,verify-before-order
chinpad,AMP,PAM8302 mono Class-D amp,PAM8302AASCR,C32705,1,0.40,0.40,verify-before-order
chinpad,PAD,Silicone pad + adhesive backing,custom,N/A,1,2.10,2.10,
chinpad,CBL,6-cond coiled silicone lead,custom,N/A,1,3.40,3.40,
pitbase,U20,RP2040 MCU QFN56,RP2040,C2040,1,1.00,1.00,verify-before-order
pitbase,M2,SX1262 +30dBm module,E22-900M30S,C?????,1,12.50,12.50,verify-before-order
pitbase,U21,nRF52840 + SKY66112 ext PA combo,custom-mod,C?????,1,9.80,9.80,verify-before-order
pitbase,DSP,5in 800x480 IPS SPI LCD + resistive touch,ER-TFT050-3,C?????,1,28.00,28.00,verify-before-order
pitbase,BT2,18650 Li-ion 3500mAh x2,INR18650-35E,C?????,2,5.40,10.80,verify-before-order
pitbase,ENC2,Ruggedized ABS+TPU enclosure,custom,N/A,1,18.00,18.00,
pitbase,PCB2,4-layer PCB 140x90mm,custom,N/A,1,6.20,6.20,verify-before-order
crewband,U30,nRF52840 module,MDBT50Q-1MV2,C?????,1,5.20,5.20,verify-before-order
crewband,LRA2,LRA 8mm x2,VG0832012D,C?????,2,2.80,5.60,verify-before-order
crewband,DSP2,0.96in OLED I2C,SSD1306,C2890,1,2.10,2.10,verify-before-order
crewband,STR,TPU strap + buckle,custom,N/A,1,2.50,2.50,
misc,RCL,Passives reel allotment (R/C/L) per system,assorted,N/A,1,4.80,4.80,verify-before-order
misc,LBL,Label/serial/QR + packaging per system,custom,N/A,1,2.40,2.40,
TOTAL,,,,,,,309.66,driver system + 1 crewband; verify-before-order all lines
